segment_name,segment_start_sec,segment_end_sec,frame_idx,processed_idx,bag_abs_time,bag_rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,baseline_mode,corner,fail_count,center_jump,lane_width_jump,recovery_used,recovery_success,recovery_left_found,recovery_right_found,recovery_window_px,recovery_reason,local_first_used,local_accept,full_fallback_used,local_reason,v3_full_recheck_used,v3_mismatch,v3_tentative_count,v3_full_recheck_accept,v3_decision,local_left_roi_x0,local_left_roi_x1,local_right_roi_x0,local_right_roi_x1,pred_lpos,pred_rpos,final_source,suspicious_reasons
lap2_problem_section_v3_fixed,105.440000,111.640000,3146,0,1780899115.918930769,105.443383217,100.522543,65.397084,16,235,722,6,2,4,-0.785046729,0.722222222,66,579,513,322,2,BOTH,BOTH,STRAIGHT,0,2,,0,0,0,0,90,no_last_good,0,0,1,no_last_good,0,0,0,0,no_last_good_use_full,,,,,,,FULL_NO_LAST_GOOD,
lap2_problem_section_v3_fixed,105.440000,111.640000,3188,42,1780899117.326393843,106.850846291,31.399205,18.341890,16,191,1102,14,6,8,-0.787234043,0.636363636,45,564,519,304,-16,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,135,474,640,45,564,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3189,43,1780899117.361971378,106.886423826,30.844134,17.000971,16,175,1124,18,5,13,-0.769230769,0.611111111,44,564,520,304,-16,BOTH,BOTH,STRAIGHT,0,0,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,135,474,640,45,564,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3190,44,1780899117.395616055,106.920068502,30.238111,15.848754,16,176,1034,15,5,10,-0.778761062,0.588235294,43,565,522,304,-16,BOTH,BOTH,STRAIGHT,0,0,2,1,1,1,1,90,success,1,1,0,success,1,0,0,0,accept_local_full_similar,0,134,474,640,44,564,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3191,45,1780899117.422928572,106.947381020,29.712926,14.710452,16,183,1021,16,5,11,-0.785714286,0.646341463,43,562,519,302,-18,BOTH,BOTH,STRAIGHT,0,2,3,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,133,475,640,43,565,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3192,46,1780899117.459341526,106.983793974,29.418892,13.622652,16,174,987,11,3,8,-0.787878788,0.648648649,42,560,518,301,-19,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,133,472,640,43,562,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3193,47,1780899117.491887808,107.016340256,28.832372,12.628156,16,170,1004,15,4,11,-0.783018868,0.620689655,40,560,520,300,-20,BOTH,BOTH,STRAIGHT,0,1,2,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,132,470,640,42,560,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3194,48,1780899117.523783684,107.048236132,28.511293,11.667748,16,165,988,14,5,9,-0.808510638,0.566666667,40,562,522,301,-19,BOTH,BOTH,STRAIGHT,0,1,2,1,1,1,1,90,success,1,1,0,success,1,0,0,0,accept_local_full_similar,0,130,470,640,40,560,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3195,49,1780899117.558941841,107.083394289,28.229773,10.746870,16,153,929,11,4,7,-0.778947368,0.622807018,38,556,518,297,-23,BOTH,BOTH,STRAIGHT,0,4,4,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,130,472,640,40,562,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3196,50,1780899117.592744350,107.117196798,27.997528,9.969581,16,140,945,16,4,12,-0.833333333,0.605263158,38,556,518,297,-23,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,128,466,640,38,556,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3197,51,1780899117.628523588,107.152976036,27.632685,9.260130,16,112,911,14,6,8,-0.846153846,0.623529412,38,555,517,296,-24,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,128,466,640,38,556,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3198,52,1780899117.662224531,107.186676979,27.682486,8.824472,16,111,933,12,3,9,-0.812500000,0.623655914,36,554,518,295,-25,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,128,465,640,38,555,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3199,53,1780899117.693482876,107.217935324,27.296023,8.518924,16,79,862,13,4,9,-0.811764706,0.624060150,35,552,517,293,-27,BOTH,BOTH,STRAIGHT,0,2,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,126,464,640,36,554,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3200,54,1780899117.730679989,107.255132437,27.301023,8.365613,16,73,860,16,4,12,-0.841269841,0.622807018,35,551,516,293,-27,BOTH,RIGHT,STRAIGHT,0,0,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,125,462,640,35,552,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3201,55,1780899117.761324644,107.285777092,26.909148,8.221002,16,74,873,14,5,9,-0.837837838,0.623655914,33,551,518,292,-28,BOTH,RIGHT,STRAIGHT,0,1,2,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,125,461,640,35,551,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3202,56,1780899117.792197943,107.316650391,27.047756,8.055716,16,75,852,12,3,9,-0.842105263,0.666666667,31,551,520,291,-29,BOTH,RIGHT,STRAIGHT,0,1,2,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,123,461,640,33,551,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3203,57,1780899117.828613520,107.353065968,26.817074,8.029337,16,75,804,12,4,8,-0.863636364,0.666666667,31,551,520,291,-29,BOTH,RIGHT,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,121,461,640,31,551,LOCAL,v3_local_first_used;v3_local_accept
