segment_name,segment_start_sec,segment_end_sec,frame_idx,processed_idx,bag_abs_time,bag_rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,baseline_mode,corner,fail_count,center_jump,lane_width_jump,recovery_used,recovery_success,recovery_left_found,recovery_right_found,recovery_window_px,recovery_reason,local_left_roi_x0,local_left_roi_x1,local_right_roi_x0,local_right_roi_x1,pred_lpos,pred_rpos,final_source,suspicious_reasons
lap1_problem_section_v0_1,14.000000,80.000000,455,37,1780899025.725294590,15.249747038,122.335313,53.395784,20,235,849,8,2,6,-0.810000000,0.579710145,35,556,521,295,-25,BOTH,BOTH,STRAIGHT,0,3,1,0,0,0,0,90,,,,,,31,553,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,456,38,1780899025.757246733,15.281699181,122.189545,53.400195,20,235,838,7,3,4,-0.808988764,0.548076923,38,586,548,312,-8,BOTH,BOTH,STRAIGHT,0,17,27,0,0,0,0,90,,,,,,35,556,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,457,39,1780899025.789856672,15.314309120,122.244588,53.368971,22,235,842,6,2,4,-0.810000000,0.596385542,41,564,523,302,-18,BOTH,BOTH,STRAIGHT,0,10,25,0,0,0,0,90,,,,,,38,586,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,458,40,1780899025.825947523,15.350399971,122.312401,53.377850,23,235,796,6,3,3,-0.805309735,0.598765432,44,567,523,305,-15,BOTH,BOTH,STRAIGHT,0,3,0,0,0,0,0,90,,,,,,41,564,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,459,41,1780899025.857957363,15.382409811,122.435739,53.526173,16,235,776,8,3,5,-0.788888889,0.600000000,47,574,527,310,-10,BOTH,BOTH,STRAIGHT,0,5,4,0,0,0,0,90,,,,,,44,567,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,460,42,1780899025.893528223,15.417980671,123.070966,53.789747,22,236,787,10,5,5,-0.782608696,0.581395349,50,576,526,313,-7,BOTH,BOTH,STRAIGHT,0,3,1,0,0,0,0,90,,,,,,47,574,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,461,43,1780899025.926761866,15.451214314,122.897869,53.878805,27,235,751,10,5,5,-0.800000000,0.596491228,55,579,524,317,-3,BOTH,BOTH,STRAIGHT,0,4,2,0,0,0,0,90,,,,,,50,576,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,462,44,1780899025.959074020,15.483526468,122.829162,53.898774,31,235,747,7,2,4,-0.784090909,0.601562500,56,583,527,319,-1,BOTH,BOTH,STRAIGHT,0,2,3,0,0,0,0,90,,,,,,55,579,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,463,45,1780899025.994172096,15.518624544,123.008722,54.133494,37,235,823,9,3,4,-0.796610169,0.580645161,60,590,530,325,5,BOTH,BOTH,STRAIGHT,0,6,3,0,0,0,0,90,,,,,,56,583,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,464,46,1780899026.025376797,15.549829245,123.387841,54.685799,30,236,870,8,2,4,-0.782608696,0.614035088,63,592,529,327,7,BOTH,BOTH,STRAIGHT,0,2,1,0,0,0,0,90,,,,,,60,590,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,465,47,1780899026.057199955,15.581652403,123.635625,55.051071,16,235,902,10,3,4,-0.769230769,0.604651163,63,593,530,328,8,BOTH,BOTH,STRAIGHT,0,1,1,0,0,0,0,90,,,,,,63,592,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,466,48,1780899026.094463587,15.618916035,124.030256,55.463500,16,235,1096,14,4,4,-0.756756757,0.625954198,60,590,530,325,5,BOTH,BOTH,STRAIGHT,0,3,0,0,0,0,0,90,,,,,,63,593,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,467,49,1780899026.126348734,15.650801182,124.121946,55.545572,16,235,1174,15,2,5,-0.781512605,0.568965517,58,614,556,336,16,BOTH,BOTH,STRAIGHT,0,11,26,0,0,0,0,90,,,,,,60,590,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,468,50,1780899026.162187099,15.686639547,124.090199,55.568692,16,236,1195,13,2,3,-0.732394366,0.622222222,54,590,536,322,2,BOTH,BOTH,STRAIGHT,0,14,20,0,0,0,0,90,,,,,,58,614,FULL_BASELINE,
