frame_idx,processed_idx,timestamp,rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,corner,fail_count,center_jump,lane_width_jump,suspicious_reasons
64,64,1780899012.621057987,2.145510,137.799261,47.712721,17,235,523,7,4,3,-0.535714286,0.839285714,55,599,544,327,7,BOTH,STRAIGHT,0,2,5,
65,65,1780899012.654445410,2.178898,137.807500,47.703081,32,235,518,6,3,3,-0.511627907,0.837837838,51,600,549,325,5,BOTH,STRAIGHT,0,2,5,
66,66,1780899012.689488173,2.213941,137.757102,47.738337,16,235,478,6,3,3,-0.533333333,0.840000000,55,599,544,327,7,BOTH,STRAIGHT,0,2,5,
67,67,1780899012.721832752,2.246285,137.847202,47.688062,32,235,475,6,3,3,-0.538461538,0.840909091,54,600,546,327,7,BOTH,STRAIGHT,0,0,2,
68,68,1780899012.754427671,2.278880,137.773452,47.733898,20,235,479,8,5,3,-0.511627907,0.840909091,50,600,550,325,5,BOTH,STRAIGHT,0,2,4,
69,69,1780899012.787436247,2.311889,137.789957,47.735738,22,235,528,6,4,2,-0.552238806,0.834951456,57,600,543,328,8,BOTH,STRAIGHT,0,3,7,
70,70,1780899012.824024916,2.348477,137.771435,47.747917,16,235,520,5,3,2,-0.487179487,0.860000000,47,598,551,322,2,BOTH,STRAIGHT,0,6,8,
71,71,1780899012.853708029,2.378160,137.783068,47.747529,23,235,521,6,3,3,-0.517857143,0.839285714,52,599,547,325,5,BOTH,STRAIGHT,0,3,4,
72,72,1780899012.890182495,2.414635,137.667173,47.816416,33,235,520,5,3,2,-0.600000000,0.839080460,60,600,540,330,10,BOTH,STRAIGHT,0,5,7,
73,73,1780899012.923169851,2.447622,137.677997,47.818999,36,235,525,6,3,3,-0.509433962,0.840579710,52,600,548,326,6,BOTH,STRAIGHT,0,4,8,
74,74,1780899012.956272840,2.480725,137.720327,47.797168,16,235,524,5,3,2,-0.590909091,0.841269841,61,599,538,330,10,BOTH,STRAIGHT,0,4,10,
